File,Revisions,SumOfREF,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgChangeset,Age
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/BaseKeystoreHandler.java,3,0,13,,4,12,,4,11,8,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/CertificateDetailsHandler.java,10,0,24,,2,20,,2,11,4,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/ConfigureNewKeyHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/ConfirmCertificateHandler.java,8,0,20,,2,19,,2,11,5,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/ConfirmKeyHandler.java,8,0,20,,2,19,,2,11,5,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/CreateKeystoreHandler.java,8,0,20,,2,19,,2,11,5,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/DeleteEntryHandler.java,12,0,28,,2,21,,2,11,4,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/EditKeystoreHandler.java,10,0,44,,4,21,,2,13,6,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/GenerateCSRHandler.java,12,0,28,,2,21,,2,11,4,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/ImportCAReplyHandler.java,12,0,28,,2,21,,2,11,4,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/KeystoresPortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/ListHandler.java,10,0,30,,3,19,,2,11,5,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/LockEditKeystoreHandler.java,8,0,20,,2,19,,2,11,5,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/LockKeystoreHandler.java,10,0,24,,2,21,,2,11,4,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/UnlockKeyHandler.java,10,0,54,,5,23,,2,19,8,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/UnlockKeystoreHandler.java,10,0,44,,4,21,,2,13,6,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/UploadCertificateHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/keystores/ViewKeystoreHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ldapmanager/LDAPManagerHelper.java,5,0,1342,,268,448,,90,894,358,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ldapmanager/LDAPManagerPortlet.java,12,0,591,,49,245,,20,228,70,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/logmanager/LogManagerPortlet.java,3,0,24,,8,6,,2,15,10,46
