File,Revisions,Refactorings,BugFixes,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgOfCodeChurn,MaxOfCount,AvgChangeset,Age
configs/uddi-jetty/pom.xml,4,0,0,0,,0,16,,4,8,4,44,12.75,7
configs/uddi-jetty/src/plan/plan.xml,2,0,0,0,,0,0,,0,0,0,5,3,7
configs/uddi-tomcat/pom.xml,4,0,0,0,,0,16,,4,8,4,44,12.75,7
configs/uddi-tomcat/src/plan/plan.xml,2,0,0,0,,0,0,,0,0,0,5,3,7
configs/unavailable-client-deployer/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/unavailable-ejb-deployer/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/unavailable-ejb-deployer/src/plan/plan.xml,2,2,0,0,,0,0,,0,0,0,98,49.5,10
configs/unavailable-webservices-deployer/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/unavailable-webservices-deployer/src/plan/plan.xml,2,2,0,0,,0,0,,0,0,0,98,49.5,10
configs/upgrade/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/upgrade-cli/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/webconsole-jetty/pom.xml,5,0,0,21,,4,15,,3,12,7.2,16,7.4,9
configs/webconsole-tomcat/pom.xml,5,0,0,24,,5,15,,3,13,7.8,16,7.4,9
configs/welcome-jetty/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/welcome-tomcat/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
etc,1,0,0,0,,0,0,,0,0,0,4,4,7
KEYS,2,0,0,11,,6,6,,3,11,8.5,1,1,8
m2-assemblies/pom.xml,4,0,0,0,,0,0,,0,0,0,60,16.5,7
m2-plugins/pom.xml,4,0,0,0,,0,0,,0,0,0,60,17,7
maven.xml,1,0,0,0,,0,0,,0,0,0,4,4,7
maven-plugins/car-maven-plugin/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,4,3,7
maven-plugins/car-maven-plugin/NOTICE.txt,2,0,0,4,,2,0,,0,2,2,4,3,7
maven-plugins/car-maven-plugin/pom.xml,6,0,0,2,,0,28,,5,9,5,44,9.17,8
maven-plugins/car-maven-plugin/src/main/java/org/apache/geronimo/plugin/car/AbstractCarMojo.java,2,0,0,0,,0,0,,0,0,0,18,13,9
maven-plugins/car-maven-plugin/src/main/java/org/apache/geronimo/plugin/car/ClasspathElement.java,2,0,0,0,,0,0,,0,0,0,18,13,9
maven-plugins/car-maven-plugin/src/main/java/org/apache/geronimo/plugin/car/InstallArtifactsMojo.java,2,0,0,0,,0,0,,0,0,0,18,13,9
maven-plugins/car-maven-plugin/src/main/java/org/apache/geronimo/plugin/car/PackageMojo.java,2,0,0,0,,0,0,,0,0,0,18,13,9
maven-plugins/car-maven-plugin/src/site/apt/usage.apt,2,0,0,0,,0,0,,0,0,0,1,1,8
maven-plugins/geronimo-deployment-plugin/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,4,3,7
maven-plugins/geronimo-deployment-plugin/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,4,3,7
maven-plugins/geronimo-deployment-plugin/pom.xml,4,0,0,0,,0,8,,2,4,2,6,2.25,7
maven-plugins/geronimo-deployment-plugin/src/main/java/org/apache/geronimo/plugins/deployment/AbstractModuleMojo.java,2,0,0,0,,0,0,,0,0,0,18,10,9
maven-plugins/geronimo-maven-plugin/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,8,5.5,9
maven-plugins/geronimo-maven-plugin/NOTICE.txt,4,0,0,12,,3,4,,1,6,4,21,8.5,9
maven-plugins/geronimo-maven-plugin/pom.xml,10,0,0,80,,8,28,,3,29,10.8,39,8.3,10
maven-plugins/geronimo-maven-plugin/src/main/java/org/apache/geronimo/mavenplugins/geronimo/AssemblyConfig.java,6,0,0,54,,9,24,,4,25,13,21,12.5,9
maven-plugins/geronimo-maven-plugin/src/main/java/org/apache/geronimo/mavenplugins/geronimo/GeronimoMojoSupport.java,2,0,0,88,,44,0,,0,44,44,39,22.5,10
maven-plugins/geronimo-maven-plugin/src/main/java/org/apache/geronimo/mavenplugins/geronimo/InstallAssemblyMojo.java,8,0,0,164,,20,136,,17,65,37.5,21,7.88,9
